name,brand,language,tags,age_min_months,piece_count,quantity,battery_operated,shareable,materials,keywords,description,link,admin_notes
Abacus,,,learning,3+,1,1,No,Yes,wood,,"This classic wooden abacus features a sturdy hardwood frame with 100 brightly colored beads that slide smoothly along ten wires, making it perfect for early learning and play. Children can use it to explore counting, patterns, colors, and basic math concepts in a hands-on, screen-free way. Designed for little hands and built to last, it's an engaging educational tool that supports fine motor skills and early numeracy development.",,
Alphabet Blocks,Uncle Goose,French,"building, learning",2+,,2,No,Yes,wood,,"Expand your knowledge of France with French language blocks. Enjoy the embossed fleur-de-lis filigree. This stylized detail surrounds two capital letters on opposing sides of each block. Two other sides show one number and one animal paired with their French translations. Two more hand crafted letters make four complete alphabets.

Cherchez the color palette inspired by the softer tones of the Delacroix ""Liberty Leading the People"" painting. The fleur-de-lis filigree you see is unique to the Uncle Goose French block set.
Made using sustainable Midwestern basswood
Printed with safe-to-touch inks
100% made in the USA",,
Alphabet Puzzle,,English,"learning, puzzles",2+,27,1,No,Yes,Wood,,"An alphabet puzzle is a classic educational toy featuring 26 individual letter pieces that fit into corresponding cutouts on a wooden board, helping toddlers and preschoolers learn the ABCs through hands-on play. Each piece is often colorful and sized for little hands, pairing each letter with a matching picture and word — to build early letter recognition and vocabulary at the same time.",,
Astronaut Costume,H&M,,pretend play,,1,1,No,Yes,fabric,,"Blast off into imagination with this astronaut costume, designed to inspire space-bound adventures and curious minds. Featuring a sleek suit with realistic mission patches and a comfortable fit, it's perfect for exploring galaxies both real and pretend. Whether for playtime or special events, this outfit turns every child into a fearless space explorer. Fits approximately ages 4-6.",,
Aventuras en la Ciudad con Peppa Pig,Yoto,Spanish,yoto,3+,1,1,No,Yes,plastic,,"For Peppa and her friends, every day is an adventure! With original music.",,
Barn Shape Sorter,Melissa & Doug,,"baby, learning",2+,11,1,No,Yes,wood,,"The Barn Shape Sorter is a portable wooden farm toy that lets toddlers fit 10 chunky, farm-themed pieces into matching shaped holes in the barn or stand them up for imaginative play. Its sturdy barn with a flip-up roof and built-in handle makes it easy to take playtime anywhere, while the extra-thick pieces are perfect for little hands to grasp and maneuver. Designed to promote fine motor skills, sorting, and matching through hands-on, screen-free fun.",,
Bee Tummy Time,,,"active, baby",0m+,2,1,Yes,No,plastic,,"This crawl toy is designed to grow with babies through three developmental stages starting at 5 months. It encourages discovery, exploration, and the development of motor and sensory skills. The cloud toy moves in patterns that motivate beginner and more advanced crawlers to engage and chase. The movement starts in a gentle circular motion and later becomes more random as skills improve. Throughout all stages, colorful lights, sounds, and music provide multi-sensory stimulation that keeps babies entertained and motivated to crawl.",,
Bilibo,,,active,2+,1,1,No,Yes,plastic,,"Bilibo is a versatile, open-ended toy that sparks imagination through active, creative play. Its unique shell shape can be used for sitting, spinning, rocking, or inventing endless games indoors or outdoors. Durable and child-powered, Bilibo encourages balance, coordination, and free-form exploration without screens or batteries.",,
Brain Quest,,English,"games, learning",6+,100,1,No,Yes,Paper,,"Brain Quest is an educational card game, designed to make learning fun for kids through hundreds of curriculum-based questions spanning subjects like math, reading, science, and social studies. Players draw cards and answer age-appropriate questions, with different editions tailored to specific grade levels and scoring evens the playing field so kids of different ages can all play together.",,
Bristle Blocks,,,building,2+,59,1,No,Yes,plastic,,"Bristle Blocks are colorful, soft, interlocking building toys with flexible bristles that stick together at any angle. They are easy for toddlers and young children to connect for frustration-free, imaginative construction. They promote STEM skills, fine motor skills, hand-eye coordination, and creativity, with sets often including wheels, figurines, and storage jars for endless building possibilities like vehicles, animals, and castles.",,
